Note: All indices are zero-referenced.

Matrix Index information for this call - start,stop,name
0,5,node1
6,11,node3
12,17,load4
18,23,node2

Timestamp: 946702800 - Iteration 0
Matrix Information - non-zero element count = 312
Matrix Information - row, column, value
0,0,10000000000.000000
1,0,0.914124
2,0,0.594011
3,0,1.284424
4,0,-0.623944
5,0,-0.225178
18,0,2.663536
19,0,-0.914124
20,0,-0.594011
21,0,-1.284424
22,0,0.623944
23,0,0.225178
0,1,0.914124
1,1,10000000000.000000
2,1,0.725064
3,1,-0.623944
4,1,1.436623
5,1,-0.382350
18,1,-0.914124
19,1,2.760139
20,1,-0.725064
21,1,0.623944
22,1,-1.436623
23,1,0.382350
0,2,0.594011
1,2,0.725064
2,2,10000000000.000000
3,2,-0.225178
4,2,-0.382350
5,2,1.154205
18,2,-0.594011
19,2,-0.725064
20,2,2.570874
21,2,0.225178
22,2,0.382350
23,2,-1.154205
0,3,1.284424
1,3,-0.623944
2,3,-0.225178
3,3,10000000000.000000
4,3,-0.914124
5,3,-0.594011
18,3,-1.284424
19,3,0.623944
20,3,0.225178
21,3,-2.663536
22,3,0.914124
23,3,0.594011
0,4,-0.623944
1,4,1.436623
2,4,-0.382350
3,4,-0.914124
4,4,10000000000.000000
5,4,-0.725064
18,4,0.623944
19,4,-1.436623
20,4,0.382350
21,4,0.914124
22,4,-2.760139
23,4,0.725064
0,5,-0.225178
1,5,-0.382350
2,5,1.154205
3,5,-0.594011
4,5,-0.725064
5,5,10000000000.000000
18,5,0.225178
19,5,0.382350
20,5,-1.154205
21,5,0.594011
22,5,0.725064
23,5,-2.570874
6,6,-7.753129
7,6,0.731299
8,6,0.475208
9,6,1.964589
10,6,-0.499156
11,6,-0.180143
12,6,2.130829
13,6,-0.731299
14,6,-0.475209
15,6,-1.027539
16,6,0.499156
17,6,0.180143
18,6,1.875603
21,6,-0.312601
6,7,0.731299
7,7,-7.830411
8,7,0.580051
9,7,-0.499156
10,7,2.086349
11,7,-0.305880
12,7,-0.731299
13,7,2.208111
14,7,-0.580051
15,7,0.499156
16,7,-1.149298
17,7,0.305880
19,7,1.875603
22,7,-0.312601
6,8,0.475208
7,8,0.580051
8,8,-7.678999
9,8,-0.180143
10,8,-0.305880
11,8,1.860414
12,8,-0.475209
13,8,-0.580051
14,8,2.056699
15,8,0.180143
16,8,0.305880
17,8,-0.923364
20,8,1.875603
23,8,-0.312601
6,9,1.964589
7,9,-0.499156
8,9,-0.180143
9,9,7.753129
10,9,-0.731299
11,9,-0.475208
12,9,-1.027539
